-0,1925133     -0,229501     -0,259731     
25,59976     0,455889     0,9411147     
0,8878179     0,7640905     20,39762     
0,01031208     19,92401     0,00816524     
1,601001     0,1923051     18,77865     
7,888885     0,5134354     18,8421     
7,646359     0,1330066     12,60195     
4,880884     5,61516     15,83675     
